model,rcp,mgm,windcase,dist,refdif,diff,percdiff
EC-EARTH_RACMO22E-r1,rcp85,BAU,w9,0.314613081085734,0.346013322393335,-0.0314002413076009,-9.07486483191137
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w5,0.296594761232439,0.33361966363853,-0.0370249024060902,-11.097937694166
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w6,0.306646641389998,0.342609907940998,-0.0359632665510006,-10.4968553790902
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w7,0.300977297917994,0.338834878404083,-0.0378575804860891,-11.1728700021671
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w8,0.298326950297729,0.332914280646517,-0.0345873303487877,-10.3892600466461
EC-EARTH_RACMO22E-r1,rcp85,BIOECONOMY,w9,0.313641939886108,0.344947344276024,-0.031305404389916,-9.07541539582506
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w5,0.302702052186884,0.342768312834943,-0.0400662606480583,-11.689021169046
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w6,0.315636284304217,0.350712183139908,-0.0350758988356912,-10.0013345763065
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w7,0.320983815812785,0.358269367419116,-0.0372855516063312,-10.4071279872257
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w8,0.298434855155003,0.338832201214724,-0.0403973460597212,-11.922522686715
EC-EARTH_RACMO22E-r1,rcp85,CONSERVATION,w9,0.321903226653496,0.353756390378766,-0.0318531637252706,-9.00426524907874
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w5,0.266567555633599,0.305519662987457,-0.0389521073538589,-12.7494600422684
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w6,0.291258842416575,0.320753068003792,-0.0294942255872165,-9.19530583784402
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w7,0.2999092179158,0.315970165293104,-0.0160609473773045,-5.08305819392975
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w8,0.262726833772753,0.292362997595835,-0.0296361638230818,-10.136769723524
EC-EARTH_RACMO22E-r1,rcp85,UNMANAGED,w9,0.303646571222052,0.330357743376878,-0.026711172154826,-8.08552930583297
HadGEM2_CCLM,rcp45,ADAPTATION,w5,0.391833079249966,0.341597560008763,0.0502355192412022,14.7060532984818
HadGEM2_CCLM,rcp45,ADAPTATION,w6,0.400112897780227,0.346114890733238,0.0539980070469884,15.6011799817669
HadGEM2_CCLM,rcp45,ADAPTATION,w7,0.398084989896401,0.345481173237712,0.0526038166586889,15.2262469661391
HadGEM2_CCLM,rcp45,ADAPTATION,w8,0.393680744210159,0.338632422550302,0.055048321659857,16.2560694115696
HadGEM2_CCLM,rcp45,ADAPTATION,w9,0.398384759207262,0.349167821807874,0.0492169373993886,14.0954962987597
HadGEM2_CCLM,rcp45,BAU,w5,0.414734061509879,0.33147398649621,0.0832600750136694,25.1181324645581
HadGEM2_CCLM,rcp45,BAU,w6,0.424468531235111,0.343124201434782,0.0813443298003293,23.7069636767637
HadGEM2_CCLM,rcp45,BAU,w7,0.418825830374193,0.339170509548712,0.0796553208254811,23.4853321804032
HadGEM2_CCLM,rcp45,BAU,w8,0.420632381913207,0.328691295490995,0.0919410864222121,27.9718652983711
HadGEM2_CCLM,rcp45,BAU,w9,0.42288906757972,0.346013322393335,0.0768757451863847,22.2175679984354
HadGEM2_CCLM,rcp45,BIOECONOMY,w5,0.409410804887931,0.33361966363853,0.0757911412494011,22.7178279669748
HadGEM2_CCLM,rcp45,BIOECONOMY,w6,0.405592508196415,0.342609907940998,0.0629826002554167,18.3831812202767
HadGEM2_CCLM,rcp45,BIOECONOMY,w7,0.401944774682051,0.338834878404083,0.0631098962779674,18.6255607968152
HadGEM2_CCLM,rcp45,BIOECONOMY,w8,0.409739885051021,0.332914280646517,0.0768256044045044,23.0766923711743
HadGEM2_CCLM,rcp45,BIOECONOMY,w9,0.405984939139353,0.344947344276024,0.0610375948633292,17.6947571495107
HadGEM2_CCLM,rcp45,CONSERVATION,w5,0.421417812364939,0.342768312834943,0.0786494995299959,22.9453822261187
HadGEM2_CCLM,rcp45,CONSERVATION,w6,0.4124396246289,0.350712183139908,0.0617274414889911,17.6005979992906
HadGEM2_CCLM,rcp45,CONSERVATION,w7,0.434270386084079,0.358269367419116,0.0760010186649622,21.2133733934483
HadGEM2_CCLM,rcp45,CONSERVATION,w8,0.414451117578369,0.338832201214724,0.0756189163636455,22.3175117632118
HadGEM2_CCLM,rcp45,CONSERVATION,w9,0.412620884346254,0.353756390378766,0.0588644939674874,16.6398390441686
HadGEM2_CCLM,rcp45,UNMANAGED,w5,0.409075324257323,0.305519662987457,0.103555661269866,33.8949252094838
HadGEM2_CCLM,rcp45,UNMANAGED,w6,0.400586028840231,0.320753068003792,0.0798329608364394,24.8892275086503
HadGEM2_CCLM,rcp45,UNMANAGED,w7,0.424935768306681,0.315970165293104,0.108965603013576,34.4860417161527
HadGEM2_CCLM,rcp45,UNMANAGED,w8,0.40384605462273,0.292362997595835,0.111483057026895,38.1317259515206
HadGEM2_CCLM,rcp45,UNMANAGED,w9,0.407141753536289,0.330357743376878,0.0767840101594105,23.242685149297
HadGEM2_CCLM,rcp85,ADAPTATION,w5,0.366750392238467,0.341597560008763,0.025152832229704,7.36329387980956
HadGEM2_CCLM,rcp85,ADAPTATION,w6,0.376799735877331,0.346114890733238,0.0306848451440929,8.86550852495471
HadGEM2_CCLM,rcp85,ADAPTATION,w7,0.373593540214206,0.345481173237712,0.0281123669764939,8.13716322456474
HadGEM2_CCLM,rcp85,ADAPTATION,w8,0.367135134662089,0.338632422550302,0.0285027121117865,8.41700623263636
HadGEM2_CCLM,rcp85,ADAPTATION,w9,0.374180662799522,0.349167821807874,0.025012840991648,7.16355844652006
HadGEM2_CCLM,rcp85,BAU,w5,0.399665320190705,0.33147398649621,0.0681913336944948,20.5721524078857
HadGEM2_CCLM,rcp85,BAU,w6,0.414102215986442,0.343124201434782,0.0709780145516598,20.6858083034842
HadGEM2_CCLM,rcp85,BAU,w7,0.406254712131635,0.339170509548712,0.067084202582923,19.7789019665014
HadGEM2_CCLM,rcp85,BAU,w8,0.399402750303083,0.328691295490995,0.070711454812088,21.5130293324197
HadGEM2_CCLM,rcp85,BAU,w9,0.40839192871555,0.346013322393335,0.062378606322215,18.0278047939742
HadGEM2_CCLM,rcp85,BIOECONOMY,w5,0.378505947787165,0.33361966363853,0.0448862841486357,13.4543280989783
