"","time","n.risk","n.event","n.censor","surv","std.err","upper","lower","Management","Climate"
"38",20,99,7,0,0.904818565162094,0.0418287225444256,0.965346842254412,0.81856255880166,"BIOECONOMY","rcp45"
"39",22,92,3,0,0.868715273394326,0.0528635083446285,0.944643043508216,0.76675054979328,"BIOECONOMY","rcp45"
"40",23,89,10,0,0.747978618796736,0.0914349963392009,0.868179219400149,0.604328457169224,"BIOECONOMY","rcp45"
"41",25,79,4,0,0.699988673688266,0.108250848351602,0.835506799986933,0.543648996396056,"BIOECONOMY","rcp45"
"42",26,75,15,0,0.522763013523865,0.182703496161495,0.704028662074634,0.338337264154323,"BIOECONOMY","rcp45"
"43",27,60,2,0,0.499476651282047,0.194629014963666,0.685469563780851,0.313558820051099,"BIOECONOMY","rcp45"
"44",28,58,2,0,0.476586194858781,0.206840056643369,0.666741104104271,0.289891564998352,"BIOECONOMY","rcp45"
"45",32,56,6,0,0.410265832349796,0.245395101727254,0.609463586343232,0.225316369393635,"BIOECONOMY","rcp45"
"46",33,50,6,0,0.347631450259416,0.287208703550462,0.550543006683406,0.170088290271015,"BIOECONOMY","rcp45"
"47",34,44,1,0,0.337551894144531,0.294543383425615,0.540549251677372,0.161752941100333,"BIOECONOMY","rcp45"
"48",35,43,2,0,0.317743386985577,0.309529318023227,0.520445929339851,0.145837213633091,"BIOECONOMY","rcp45"
"49",42,41,1,0,0.308014229665914,0.317188471043208,0.510334993709532,0.138250039664604,"BIOECONOMY","rcp45"
"50",44,40,1,0,0.29840111194703,0.324964373225034,0.500182859332014,0.130905148120834,"BIOECONOMY","rcp45"
"51",46,39,8,0,0.224754570784796,0.394037111070599,0.41682930164204,0.079592787568443,"BIOECONOMY","rcp45"
"52",47,31,1,0,0.215978434397324,0.403726492780613,0.406153827299881,0.074092564385498,"BIOECONOMY","rcp45"
"53",49,30,3,0,0.190343205262987,0.434573907800794,0.373931837145936,0.0588211688717769,"BIOECONOMY","rcp45"
"54",50,27,0,27,0.190343205262987,0.434573907800794,0.373931837145936,0.0588211688717769,"BIOECONOMY","rcp45"
"55",17,100,1,0,0.99282876434615,0.00743080140078967,1,0.971221206398249,"CONSERVATION","rcp45"
"56",20,99,7,0,0.941181772509166,0.0263956225295031,0.98011283821897,0.883423382293632,"CONSERVATION","rcp45"
"57",22,92,3,0,0.918239246940466,0.0335689350399061,0.968039948605664,0.848187527066009,"CONSERVATION","rcp45"
"58",23,89,10,0,0.838626967443253,0.0583149325171797,0.921967640139074,0.732427317359957,"CONSERVATION","rcp45"
"59",25,79,4,0,0.805592288941787,0.0688793816931121,0.901517272783635,0.686733089360764,"CONSERVATION","rcp45"
"60",26,75,15,0,0.674955006505842,0.113941169053235,0.8141169951419,0.517830630124074,"CONSERVATION","rcp45"
"61",27,60,2,0,0.6565699915439,0.12081813292772,0.800964597800718,0.495540167361612,"CONSERVATION","rcp45"
"62",28,58,2,0,0.638165395974355,0.127859658452804,0.787572633939724,0.473595566864812,"CONSERVATION","rcp45"
"63",32,56,6,0,0.582764368546686,0.150639894915601,0.746366895793724,0.409186672656572,"CONSERVATION","rcp45"
"64",33,50,6,0,0.527095080109928,0.176279012972083,0.703412585041115,0.347212387410883,"CONSERVATION","rcp45"
"65",34,44,1,0,0.517778928149636,0.180865812529259,0.696040689701448,0.337145114935017,"CONSERVATION","rcp45"
"66",35,43,2,0,0.499144971340824,0.190460968467763,0.681249915126283,0.317157401479193,"CONSERVATION","rcp45"
"67",42,41,1,0,0.489825468589599,0.195440471704062,0.673789885313079,0.307277685646639,"CONSERVATION","rcp45"
"68",44,40,1,0,0.480502507785126,0.20050235227966,0.666241824965806,0.297515203062491,"CONSERVATION","rcp45"
"69",46,39,8,0,0.404663594608245,0.245481189384317,0.601697945816697,0.222434670717648,"CONSERVATION","rcp45"
"70",47,31,1,0,0.395012063969564,0.251779366761286,0.593053843642375,0.213443463143917,"CONSERVATION","rcp45"
"71",49,30,3,0,0.365892767428235,0.27228711861562,0.566724729167506,0.186799721874289,"CONSERVATION","rcp45"
"72",50,27,0,27,0.365892767428235,0.27228711861562,0.566724729167506,0.186799721874289,"CONSERVATION","rcp45"
"73",17,100,1,0,0.992689252494987,0.00757430543379294,1,0.970672323348147,"UNMANAGED","rcp45"
"74",20,99,7,0,0.940068410036832,0.0268778135242668,0.979688910713517,0.881361161472788,"UNMANAGED","rcp45"
"75",22,92,3,0,0.916711185088975,0.0341716088441829,0.967359575825224,0.845573806522351,"UNMANAGED","rcp45"
"76",23,89,10,0,0.835750095973296,0.0593160709220576,0.920323242904297,0.728218739431575,"UNMANAGED","rcp45"
"77",25,79,4,0,0.802198999358052,0.0700806805990419,0.899497901065914,0.681924409900365,"UNMANAGED","rcp45"
"78",26,75,15,0,0.669794007789957,0.116074371539841,0.810685760992835,0.511231923540865,"UNMANAGED","rcp45"
"79",27,60,2,0,0.651198324497591,0.123101046084028,0.797342717654153,0.488769804080309,"UNMANAGED","rcp45"
"80",28,58,2,0,0.632593018432368,0.130427973438034,0.783900114519303,0.466506433856621,"UNMANAGED","rcp45"
"81",32,56,6,0,0.576652297106151,0.153753510799802,0.742174525409304,0.401745661482678,"UNMANAGED","rcp45"
"82",33,50,6,0,0.520545372637512,0.179783405117847,0.698506704429696,0.339845392751523,"UNMANAGED","rcp45"
"83",34,44,1,0,0.511166965605469,0.18444052596465,0.691018009025471,0.329807249220916,"UNMANAGED","rcp45"
"84",35,43,2,0,0.492418431540589,0.194004470258907,0.675835466617857,0.310052450106114,"UNMANAGED","rcp45"
"85",42,41,1,0,0.483046719175546,0.198966568763374,0.668179784822321,0.300294323114793,"UNMANAGED","rcp45"
"86",44,40,1,0,0.473675012514596,0.20410823561075,0.660523347284994,0.290572896378097,"UNMANAGED","rcp45"
"87",46,39,8,0,0.397577948736451,0.250261178751896,0.595495524443188,0.215709221336782,"UNMANAGED","rcp45"
"88",47,31,1,0,0.38791252986726,0.256815621275355,0.586863615141618,0.206719585235853,"UNMANAGED","rcp45"
"89",49,30,3,0,0.358779738512937,0.277649533820187,0.560213435821042,0.180424284103783,"UNMANAGED","rcp45"
"90",50,27,0,27,0.358779738512937,0.277649533820187,0.560213435821042,0.180424284103783,"UNMANAGED","rcp45"
"91",15,100,3,0,0.933353270824466,0.041264685594113,0.987995461994467,0.839315752149663,"ADAPTATION","rcp85"
"92",16,97,6,0,0.803237173923063,0.0810063331810448,0.913121814916365,0.662414700925213,"ADAPTATION","rcp85"
"93",17,91,6,0,0.681243988268141,0.116731809909106,0.824172184642347,0.518228102312513,"ADAPTATION","rcp85"
"94",20,85,1,0,0.661872304213788,0.122639364783653,0.808916151518488,0.496693145667648,"ADAPTATION","rcp85"
"95",21,84,2,0,0.623129061335743,0.135197567128083,0.777992277726016,0.454108750993774,"ADAPTATION","rcp85"
"96",22,82,1,0,0.60375751054398,0.14190916984386,0.762349740657815,0.433054616836594,"ADAPTATION","rcp85"
"97",23,81,9,0,0.437952161700789,0.210336220912373,0.618603259513214,0.26542761661727,"ADAPTATION","rcp85"
"98",24,72,8,0,0.306017352912515,0.287798736422866,0.488075824665295,0.150858773086748,"ADAPTATION","rcp85"
"99",25,64,26,0,0.0280329928051282,0.925247940606557,0.100275994222695,0.000202634570600102,"ADAPTATION","rcp85"
"100",26,38,8,0,0.00477260669563617,1.54919869808317,0.030064788235885,0,"ADAPTATION","rcp85"
"101",27,30,8,0,0.000469845853822148,2.3672216841728,0.00517131942325932,0,"ADAPTATION","rcp85"
"102",28,22,5,0,6.90924255348779e-05,3.05138783276094,0.00109978646644637,0,"ADAPTATION","rcp85"
"103",29,17,3,0,1.64804143151231e-05,3.56798740917737,0.000333186523090556,0,"ADAPTATION","rcp85"
