"time","Management","Climate","Model","Windcase","surv","lower","upper"
15,"ADAPTATION","rcp85","EC-EARTH_RACMO22E-r1","w7",0.992895970313017,0.983534842356218,1
15,"ADAPTATION","rcp45","EC-EARTH_RACMO22E-r1","w8",0.953974767371466,0.898150562682689,1
15,"ADAPTATION","rcp85","EC-EARTH_RACMO22E-r1","w8",0.995150457316352,0.988690587744848,1
15,"ADAPTATION","rcp45","EC-EARTH_RACMO22E-r1","w9",0.968382069909477,0.929335513630197,1
15,"ADAPTATION","rcp85","EC-EARTH_RACMO22E-r1","w9",0.996301451545777,0.991387850849099,1
15,"ADAPTATION","rcp45","HadGEM2_CCLM","w5",0.975808420960579,0.945566709903574,1
15,"ADAPTATION","rcp85","HadGEM2_CCLM","w5",0.991765584332017,0.980981273344964,1
15,"ADAPTATION","rcp85","HadGEM2_CCLM","w6",0.946819779860191,0.883572431309489,1
15,"ADAPTATION","rcp45","HadGEM2_CCLM","w7",0.995458083838085,0.989455481020748,1
15,"ADAPTATION","rcp85","HadGEM2_CCLM","w7",0.970362199859083,0.934339865094181,1
15,"ADAPTATION","rcp45","HadGEM2_CCLM","w8",0.989934417302189,0.976779130904741,1
15,"ADAPTATION","rcp85","HadGEM2_CCLM","w8",0.935325722228073,0.860230526859814,1
15,"ADAPTATION","rcp45","HadGEM2_CCLM","w9",0.993125505046815,0.984020845838537,1
15,"ADAPTATION","rcp85","HadGEM2_CCLM","w9",0.955433240833785,0.902306314133689,1
15,"ADAPTATION","rcp45","MPI_CCLM","w5",0.994755835402303,0.987835841215753,1
15,"ADAPTATION","rcp85","MPI_CCLM","w5",0.965846990106381,0.924555331640142,1
15,"ADAPTATION","rcp45","MPI_CCLM","w6",0.988335567367424,0.973152841957865,1
15,"ADAPTATION","rcp45","MPI_CCLM","w7",0.925386948069614,0.840515625678493,1
15,"ADAPTATION","rcp85","MPI_CCLM","w7",0.999308633138065,0.998346022407432,1
15,"ADAPTATION","rcp45","MPI_CCLM","w8",0.995439610162253,0.98926619217133,1
15,"ADAPTATION","rcp85","MPI_CCLM","w8",0.998464210715942,0.996372541480018,1
15,"ADAPTATION","rcp45","MPI_CCLM","w9",0.989893591150326,0.976588411998865,1
15,"ADAPTATION","rcp85","MPI_CCLM","w9",0.998952529512491,0.997506628395985,1
15,"ADAPTATION","rcp45","NCC_HIRHAM5","w5",0.993097576842139,0.983918763704354,1
15,"ADAPTATION","rcp85","NCC_HIRHAM5","w5",0.999201498754592,0.998097903723159,1
15,"ADAPTATION","rcp45","NCC_HIRHAM5","w6",0.994734512980599,0.987661592360304,1
15,"ADAPTATION","rcp85","NCC_HIRHAM5","w6",0.998219043220017,0.995800479556598,1
15,"ADAPTATION","rcp85","NCC_HIRHAM5","w7",0.988288294703656,0.97302798338608,1
15,"ADAPTATION","rcp45","NCC_HIRHAM5","w8",0.967699078678888,0.92283872836455,1
15,"ADAPTATION","rcp85","NCC_HIRHAM5","w8",0.929630670977335,0.837302687124218,1
15,"ADAPTATION","rcp45","NCC_HIRHAM5","w9",0.95146259949159,0.885653462093238,1
15,"ADAPTATION","rcp85","NCC_HIRHAM5","w9",0.96278599074752,0.911481680876332,1
15,"ADAPTATION","refclim","refclim","w5",0.918855318916023,0.814125152874589,1
15,"ADAPTATION","refclim","refclim","w6",0.998615486468774,0.996721078812642,1
15,"ADAPTATION","refclim","refclim","w7",0.991822798152296,0.981426595661762,1
15,"ADAPTATION","refclim","refclim","w8",0.99692577101943,0.992821365762373,1
15,"ADAPTATION","refclim","refclim","w9",0.981918402921499,0.959286687417093,1
15,"BAU","rcp85","EC-EARTH_RACMO22E-r1","w5",0.997902737327331,0.995075658631234,1
15,"BAU","rcp45","EC-EARTH_RACMO22E-r1","w6",0.987634887089116,0.972068813078534,1
15,"BAU","rcp85","EC-EARTH_RACMO22E-r1","w6",0.998401027869179,0.996221934539808,1
15,"BAU","rcp45","EC-EARTH_RACMO22E-r1","w7",0.990561150864512,0.978520351937367,1
15,"BAU","rcp85","EC-EARTH_RACMO22E-r1","w7",0.996435451700477,0.991672771644434,1
15,"BAU","rcp45","EC-EARTH_RACMO22E-r1","w8",0.97905979955932,0.952885941979406,1
15,"BAU","rcp85","EC-EARTH_RACMO22E-r1","w8",0.998917302921893,0.997433868111925,1
15,"BAU","rcp45","EC-EARTH_RACMO22E-r1","w9",0.993600629078521,0.98535764776018,1
15,"BAU","rcp85","EC-EARTH_RACMO22E-r1","w9",0.997595492547766,0.994371567819544,1
15,"BAU","rcp45","HadGEM2_CCLM","w5",0.985834143831747,0.967778077799868,1
15,"BAU","rcp45","HadGEM2_CCLM","w6",0.998359801590364,0.99614838360592,1
15,"BAU","rcp85","HadGEM2_CCLM","w6",0.990318772043304,0.977975227054613,1
15,"BAU","rcp45","HadGEM2_CCLM","w7",0.998749565860178,0.997048893366288,1
15,"BAU","rcp85","HadGEM2_CCLM","w7",0.992612257705784,0.983097713030645,1
15,"BAU","rcp45","HadGEM2_CCLM","w8",0.997211839976719,0.993506236930451,1
15,"BAU","rcp85","HadGEM2_CCLM","w8",0.983589411635853,0.962901672522263,1
